"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           9,                 0,      -5.438527511,       -2.40387564,      -3.152206961,     0.02909504197,      -1.606445652,       3.055475164
          1,           0,           9,             0.003,      -6.229702024,      -2.706449062,      -3.759805131,     -0.7995957131,      -1.653336287,       2.688525153
          2,           0,           9,             0.006,      -6.320429632,      -2.891888218,      -3.900115877,      -1.374259286,      -1.791281154,       2.326393614
          3,           0,           9,             0.009,      -6.177955917,      -3.030189263,      -3.932194553,      -1.530338964,      -1.939354104,        2.09659072
          4,           0,           9,             0.012,      -6.085644435,       -3.14083175,      -3.950511251,      -1.553898638,      -2.073655444,       1.946610114
          5,           0,           9,             0.015,      -6.022334141,      -3.229798217,      -3.960471913,      -1.558857776,      -2.189772624,       1.822297851
          6,           0,           9,             0.018,      -5.976084196,      -3.301726582,      -3.964884992,      -1.557025332,      -2.290033059,       1.713922688
          7,           0,           9,             0.021,       -5.94228659,      -3.360968221,      -3.965023258,       -1.55303369,      -2.377879867,       1.621292882
          8,           0,           9,             0.024,      -5.915708387,      -3.410684633,      -3.963363208,      -1.553839369,      -2.456143558,       1.543515813
          9,           0,           9,             0.027,      -5.893974784,      -3.452654369,       -3.96121354,      -1.552746334,      -2.526863009,       1.478349659
